system,field_level_f1_mean,exact_match_mean,schema_valid_mean,hallucination_rate_mean,delta_field_level_f1,delta_exact_match,delta_schema_valid,delta_hallucination_rate
drise_no_layout,0.482219,0.0,0.0,0.93243,-0.050665,0.0,0.0,0.03759
drise_no_constraints,0.532884,0.0,0.0,0.89484,0.0,0.0,0.0,0.0
