system,field_level_f1_mean,exact_match_mean,schema_valid_mean,hallucination_rate_mean,delta_field_level_f1,delta_exact_match,delta_schema_valid,delta_hallucination_rate
drise_no_layout,0.624844,0.248756,1.0,0.180189,0.000166,0.0,0.0,0.00014
drise_no_constraints,0.625288,0.248756,1.0,0.179959,0.00061,0.0,0.0,-9e-05
